Timestamp,Face_Detected,Class,Computational_Time
2024-11-09 14:03:37.741018,1,tinggi,0.0140
2024-11-09 14:03:37.833097,1,tinggi,0.0072
2024-11-09 14:03:37.866906,1,tinggi,0.0060
2024-11-09 14:03:37.904143,1,tinggi,0.0085
2024-11-09 14:03:37.964358,1,tinggi,0.0041
2024-11-09 14:03:38.032080,1,tinggi,0.0065
2024-11-09 14:03:38.079783,1,tinggi,0.0000
2024-11-09 14:03:38.113880,1,tinggi,0.0076
2024-11-09 14:03:38.149751,1,tinggi,0.0055
2024-11-09 14:03:38.185770,1,tinggi,0.0059
2024-11-09 14:03:38.214130,1,tinggi,0.0045
2024-11-09 14:03:38.246282,1,tinggi,0.0037
2024-11-09 14:03:38.291014,1,tinggi,0.0050
2024-11-09 14:03:38.331408,1,tinggi,0.0054
2024-11-09 14:03:38.364068,1,tinggi,0.0064
2024-11-09 14:03:38.399705,1,tinggi,0.0048
2024-11-09 14:03:38.438820,1,tinggi,0.0041
2024-11-09 14:03:38.477515,1,tinggi,0.0045
2024-11-09 14:03:38.507678,1,tinggi,0.0043
2024-11-09 14:03:38.587557,1,tinggi,0.0050
2024-11-09 14:03:38.618051,1,tinggi,0.0011
2024-11-09 14:03:38.655617,1,tinggi,0.0047
2024-11-09 14:03:38.692435,1,tinggi,0.0081
2024-11-09 14:03:38.732639,1,tinggi,0.0040
2024-11-09 14:03:38.764787,1,tinggi,0.0051
2024-11-09 14:03:38.803886,1,tinggi,0.0053
2024-11-09 14:03:38.834779,1,tinggi,0.0053
2024-11-09 14:03:38.870794,1,tinggi,0.0049
2024-11-09 14:03:38.901679,1,tinggi,0.0054
2024-11-09 14:03:38.939801,1,tinggi,0.0072
2024-11-09 14:03:38.976453,1,tinggi,0.0087
2024-11-09 14:03:39.010780,1,tinggi,0.0033
2024-11-09 14:03:39.046351,1,tinggi,0.0050
2024-11-09 14:03:39.080419,1,tinggi,0.0041
2024-11-09 14:03:39.113689,1,tinggi,0.0042
2024-11-09 14:03:39.147455,1,tinggi,0.0054
2024-11-09 14:03:39.196174,1,tinggi,0.0079
2024-11-09 14:03:39.234493,1,tinggi,0.0047
2024-11-09 14:03:39.266057,1,tinggi,0.0051
2024-11-09 14:03:39.300175,1,tinggi,0.0043
2024-11-09 14:03:39.330679,1,tinggi,0.0059
2024-11-09 14:03:39.372742,1,tinggi,0.0035
2024-11-09 14:03:39.409534,1,tinggi,0.0048
2024-11-09 14:03:39.445697,1,tinggi,0.0057
2024-11-09 14:03:39.475631,1,tinggi,0.0032
2024-11-09 14:03:39.510128,1,tinggi,0.0063
2024-11-09 14:03:39.550749,1,tinggi,0.0047
2024-11-09 14:03:39.583826,1,tinggi,0.0047
2024-11-09 14:03:39.625151,1,tinggi,0.0052
2024-11-09 14:03:39.667024,1,tinggi,0.0060
2024-11-09 14:03:39.714424,1,tinggi,0.0057
2024-11-09 14:03:39.749666,1,tinggi,0.0095
2024-11-09 14:03:39.793322,1,tinggi,0.0050
2024-11-09 14:03:39.829012,1,tinggi,0.0089
2024-11-09 14:03:39.875097,1,tinggi,0.0084
2024-11-09 14:03:39.911913,1,tinggi,0.0087
2024-11-09 14:03:39.944870,1,tinggi,0.0035
2024-11-09 14:03:39.980608,1,tinggi,0.0048
2024-11-09 14:03:40.014636,1,tinggi,0.0060
2024-11-09 14:03:40.048562,1,tinggi,0.0046
2024-11-09 14:03:40.078484,1,tinggi,0.0054
2024-11-09 14:03:40.112325,1,tinggi,0.0047
2024-11-09 14:03:40.153957,1,sangat_rendah,0.0049
2024-11-09 14:03:40.199151,1,tinggi,0.0035
2024-11-09 14:03:40.230938,1,tinggi,0.0044
2024-11-09 14:03:40.261526,1,tinggi,0.0058
2024-11-09 14:03:40.292076,1,tinggi,0.0049
2024-11-09 14:03:40.339678,1,tinggi,0.0052
2024-11-09 14:03:40.377477,1,tinggi,0.0050
2024-11-09 14:03:40.410866,1,sangat_rendah,0.0030
2024-11-09 14:03:40.446577,1,sangat_rendah,0.0041
2024-11-09 14:03:40.480753,1,tinggi,0.0050
2024-11-09 14:03:40.521853,1,tinggi,0.0070
2024-11-09 14:03:40.554142,1,tinggi,0.0074
2024-11-09 14:03:40.598925,1,tinggi,0.0079
